user_id,transaction_id,item_id,item_name,quantity_purchased,unit,price_total,purchase_date,store_name,payment_method,discount_applied,category,brand,location,receipt_source,weekday,purchase_channel,consumption_start_date,expected_depletion_date
U001,TU001_20241224_0000,I_trail_mix,trail_mix,2.0,pcs,8.14,2024-12-24,Amazon Fresh,credit_card,True,snacks,Horizon,"Boston, MA",email,Tuesday,in_store,2024-12-26,2025-01-04
U001,TU001_20250210_0001,I_chips,chips,22.0,pcs,63.87,2025-02-10,Whole Foods,credit_card,True,snacks,365,"Boston, MA",OCR,Monday,in_store,2025-02-13,2025-05-07
U001,TU001_20250323_0002,I_pretzels,pretzels,17.0,pcs,22.59,2025-03-23,Target,credit_card,False,snacks,Generic,"Boston, MA",manual,Sunday,in_store,2025-03-23,2025-05-23
U001,TU001_20250617_0003,I_asparagus,asparagus,2.42,kg,6.43,2025-06-17,Market Basket,mobile_pay,False,produce,365,"Boston, MA",OCR,Tuesday,online,2025-06-20,2025-07-08
U001,TU001_20250509_0004,I_tempeh,tempeh,0.64,kg,9.39,2025-05-09,Trader Joe's,debit_card,False,protein,WholeFoods,"Boston, MA",manual,Friday,in_store,2025-05-09,2025-05-15
U001,TU001_20251015_0005,I_rice,rice,1.08,kg,4.94,2025-10-15,Target,credit_card,True,grain,365,"Boston, MA",manual,Wednesday,online,2025-10-15,2025-12-05
U001,TU001_20241224_0006,I_trail_mix,trail_mix,3.0,pcs,8.49,2024-12-24,Trader Joe's,credit_card,False,snacks,Horizon,"Boston, MA",OCR,Tuesday,in_store,2024-12-27,2025-01-10
U001,TU001_20250319_0007,I_peaches,peaches,1.41,kg,2.84,2025-03-19,Stop & Shop,debit_card,False,produce,Silk,"Boston, MA",manual,Wednesday,in_store,2025-03-20,2025-03-28
U001,TU001_20241130_0008,I_soy_sauce,soy_sauce,1.0,L,5.8,2024-11-30,Whole Foods,mobile_pay,False,condiments_spices,Kirkland,"Boston, MA",OCR,Saturday,in_store,2024-12-01,2025-02-10
U001,TU001_20250921_0009,I_honey,honey,1.83,L,7.21,2025-09-21,Trader Joe's,mobile_pay,False,others,TraderJoes,"Boston, MA",email,Sunday,online,2025-09-22,2025-12-27
